iteration;rss
254;3133.45147322
255;3133.40889309
256;3133.36631377
257;3133.32373527
258;3133.28115757
259;3133.23858068
260;3133.19600461
261;3133.15342934
262;3133.11085488
263;3133.06828124
264;3133.0257084
265;3132.98313637
266;3132.94056516
267;3132.89799475
268;3132.85542515
269;3132.81285637
270;3132.77028839
271;3132.72772122
272;3132.68515486
273;3132.64258931
274;3132.60002458
275;3132.55746065
276;3132.51489753
277;3132.47233522
278;3132.42977372
279;3132.38721303
280;3132.34465315
281;3132.30209408
282;3132.25953582
283;3132.21697836
284;3132.17442172
285;3132.13186589
286;3132.08931087
287;3132.04675665
288;3132.00420325
289;3131.96165065
290;3131.91909887
291;3131.87654789
292;3131.83399772
293;3131.79144837
294;3131.74889982
295;3131.70635208
296;3131.66380515
297;3131.62125903
298;3131.57871372
299;3131.53616921
300;3131.49362552
301;3131.45108264
302;3131.40854056
303;3131.3659993
304;3131.32345884
305;3131.2809192
306;3131.23838036
307;3131.19584233
308;3131.15330511
309;3131.1107687
310;3131.0682331
311;3131.02569831
312;3130.98316433
313;3130.94063115
314;3130.89809879
315;3130.85556723
316;3130.81303648
317;3130.77050655
318;3130.72797742
319;3130.6854491
320;3130.64292159
321;3130.60039488
322;3130.55786899
323;3130.51534391
324;3130.47281963
325;3130.43029616
326;3130.38777351
327;3130.34525166
328;3130.30273062
329;3130.26021039
330;3130.21769096
331;3130.17517235
332;3130.13265455
333;3130.09013755
334;3130.04762136
335;3130.00510598
336;3129.96259141
337;3129.92007765
338;3129.8775647
339;3129.83505255
340;3129.79254122
341;3129.75003069
342;3129.70752097
343;3129.66501206
344;3129.62250396
345;3129.57999667
346;3129.53749018
347;3129.49498451
348;3129.45247964
349;3129.40997558
350;3129.36747233
351;3129.32496989
352;3129.28246826
353;3129.23996743
354;3129.19746742
355;3129.15496821
356;3129.11246981
357;3129.06997222
358;3129.02747543
359;3128.98497946
360;3128.94248429
361;3128.89998993
362;3128.85749638
363;3128.81500364
364;3128.77251171
365;3128.73002058
366;3128.68753027
367;3128.64504076
368;3128.60255206
369;3128.56006417
370;3128.51757708
371;3128.47509081
372;3128.43260534
373;3128.39012068
374;3128.34763683
375;3128.30515378
376;3128.26267155
377;3128.22019012
378;3128.1777095
379;3128.13522969
380;3128.09275069
381;3128.05027249
382;3128.0077951
383;3127.96531852
384;3127.92284275
385;3127.88036779
386;3127.83789363
387;3127.79542028
388;3127.75294774
389;3127.71047601
390;3127.66800509
391;3127.62553497
392;3127.58306566
393;3127.54059716
394;3127.49812947
395;3127.45566259
396;3127.41319651
397;3127.37073124
398;3127.32826678
399;3127.28580312
400;3127.24334028
401;3127.20087824
402;3127.15841701
403;3127.11595658
404;3127.07349697
405;3127.03103816
406;3126.98858016
407;3126.94612297
408;3126.90366658
409;3126.861211
410;3126.81875623
411;3126.77630227
412;3126.73384911
413;3126.69139677
414;3126.64894523
415;3126.60649449
416;3126.56404457
417;3126.52159545
418;3126.47914714
419;3126.43669964
420;3126.39425294
421;3126.35180705
422;3126.30936197
423;3126.2669177
424;3126.22447423
425;3126.18203157
426;3126.13958972
427;3126.09714868
428;3126.05470844
429;3126.01226901
430;3125.96983039
431;3125.92739257
432;3125.88495556
433;3125.84251936
434;3125.80008397
435;3125.75764938
436;3125.7152156
437;3125.67278263
438;3125.63035047
439;3125.58791911
440;3125.54548856
441;3125.50305881
442;3125.46062988
443;3125.41820175
444;3125.37577442
445;3125.33334791
446;3125.2909222
447;3125.2484973
448;3125.2060732
449;3125.16364991
450;3125.12122743
451;3125.07880576
452;3125.03638489
453;3124.99396483
454;3124.95154558
455;3124.90912713
456;3124.86670949
457;3124.82429266
458;3124.78187663
459;3124.73946141
460;3124.697047
461;3124.65463339
462;3124.6122206
463;3124.5698086
464;3124.52739742
465;3124.48498704
466;3124.44257747
467;3124.4001687
468;3124.35776074
469;3124.31535359
470;3124.27294724
471;3124.23054171
472;3124.18813697
473;3124.14573305
474;3124.10332993
475;3124.06092762
476;3124.01852611
477;3123.97612541
478;3123.93372552
479;3123.89132643
480;3123.84892815
481;3123.80653068
482;3123.76413401
483;3123.72173815
484;3123.67934309
485;3123.63694885
486;3123.5945554
487;3123.55216277
488;3123.50977094
489;3123.46737992
490;3123.4249897
491;3123.38260029
492;3123.34021169
493;3123.29782389
494;3123.2554369
495;3123.21305071
496;3123.17066534
497;3123.12828076
498;3123.085897
499;3123.04351404
500;3123.00113188
501;3122.95875053
502;3122.91636999
503;3122.87399026
504;3122.83161133
505;3122.78923321
506;3122.74685589
507;3122.70447938
508;3122.66210367
509;3122.61972877
510;3122.57735468
511;3122.53498139
512;3122.49260891
513;3122.45023724
514;3122.40786637
515;3122.3654963
516;3122.32312705
517;3122.28075859
518;3122.23839095
519;3122.19602411
520;3122.15365808
521;3122.11129285
522;3122.06892843
523;3122.02656481
524;3121.984202
525;3121.94183999
526;3121.89947879
527;3121.8571184
528;3121.81475881
529;3121.77240003
530;3121.73004206
531;3121.68768489
532;3121.64532852
533;3121.60297296
534;3121.56061821
535;3121.51826426
536;3121.47591112
537;3121.43355878
538;3121.39120725
539;3121.34885653
540;3121.30650661
541;3121.26415749
542;3121.22180918
543;3121.17946168
544;3121.13711498
545;3121.09476909
546;3121.052424
547;3121.01007972
548;3120.96773624
549;3120.92539357
550;3120.88305171
551;3120.84071065
552;3120.79837039
553;3120.75603095
554;3120.7136923
555;3120.67135446
556;3120.62901743
557;3120.5866812
558;3120.54434578
559;3120.50201116
560;3120.45967735
561;3120.41734434
562;3120.37501214
563;3120.33268075
564;3120.29035015
565;3120.24802037
566;3120.20569139
567;3120.16336321
568;3120.12103584
569;3120.07870928
570;3120.03638351
571;3119.99405856
572;3119.95173441
573;3119.90941106
574;3119.86708852
575;3119.82476679
576;3119.78244586
577;3119.74012573
578;3119.69780641
579;3119.6554879
580;3119.61317019
581;3119.57085328
582;3119.52853718
583;3119.48622189
584;3119.44390739
585;3119.40159371
586;3119.35928083
587;3119.31696875
588;3119.27465748
589;3119.23234701
590;3119.19003735
591;3119.1477285
592;3119.10542044
593;3119.0631132
594;3119.02080675
595;3118.97850111
596;3118.93619628
597;3118.89389225
598;3118.85158903
599;3118.80928661
600;3118.76698499
601;3118.72468418
602;3118.68238418
603;3118.64008498
604;3118.59778658
605;3118.55548899
606;3118.5131922
607;3118.47089622
608;3118.42860104
609;3118.38630667
610;3118.3440131
611;3118.30172033
612;3118.25942837
613;3118.21713722
614;3118.17484687
615;3118.13255732
616;3118.09026858
617;3118.04798064
618;3118.0056935
619;3117.96340717
620;3117.92112165
621;3117.87883693
622;3117.83655301
623;3117.7942699
624;3117.75198759
625;3117.70970609
626;3117.66742539
627;3117.62514549
628;3117.5828664
629;3117.54058811
630;3117.49831063
631;3117.45603395
632;3117.41375808
633;3117.37148301
634;3117.32920874
635;3117.28693528
636;3117.24466262
637;3117.20239077
638;3117.16011972
639;3117.11784947
640;3117.07558003
641;3117.03331139
642;3116.99104356
643;3116.94877653
644;3116.9065103
645;3116.86424488
646;3116.82198026
647;3116.77971644
648;3116.73745343
649;3116.69519123
650;3116.65292983
651;3116.61066923
652;3116.56840943
653;3116.52615044
654;3116.48389225
655;3116.44163487
656;3116.39937829
657;3116.35712251
658;3116.31486754
659;3116.27261337
660;3116.23036001
661;3116.18810745
662;3116.14585569
663;3116.10360474
664;3116.06135459
665;3116.01910524
666;3115.9768567
667;3115.93460896
668;3115.89236202
669;3115.85011589
670;3115.80787056
671;3115.76562604
672;3115.72338232
673;3115.6811394
674;3115.63889728
675;3115.59665597
676;3115.55441547
677;3115.51217576
678;3115.46993686
679;3115.42769876
680;3115.38546147
681;3115.34322498
682;3115.30098929
683;3115.25875441
684;3115.21652033
685;3115.17428705
686;3115.13205458
687;3115.08982291
688;3115.04759204
689;3115.00536198
690;3114.96313272
691;3114.92090426
692;3114.87867661
693;3114.83644976
